mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9634161472320557,0.464288596945276,0.04577403068542481,0.0062832877993648515,14,0.8,1,9,320,"{'max_depth': 14, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 320}",-1.0951007658357068,-0.7989204307997406,-0.846675323767176,-0.6965442062350893,-0.5337897219163669,-0.7942060897108159,0.1847524721100895,21
1.1194803237915039,0.23122100156366818,0.07306818962097168,0.005243355506875822,14,log2,3,8,630,"{'max_depth': 14, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 630}",-1.1280726530783385,-0.863869061431242,-0.8828688532526892,-0.7423428937716674,-0.5550814297028585,-0.8344469782473591,0.18759245505538555,33
2.8146037101745605,1.0710993864431455,0.06785745620727539,0.010428041224397474,18,1.0,3,7,608,"{'max_depth': 18, 'max_features': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 608}",-1.0267140195805036,-0.7332142828915158,-0.8282366565424785,-0.7096665953425793,-0.5187211585394712,-0.7633105425793096,0.16565277943819517,5
2.187302303314209,0.5572764666923875,0.07746810913085937,0.00941180476640542,9,0.8,2,7,685,"{'max_depth': 9, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 685}",-1.0559828283672272,-0.7507881000109311,-0.82554911566579,-0.6938965272896668,-0.5156711710936347,-0.7683775484854499,0.17646682946108064,9
1.717478609085083,0.36994543994865015,0.06852765083312988,0.014085798060453745,8,0.8,2,7,552,"{'max_depth': 8, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 552}",-1.054278045105756,-0.7493773589910987,-0.8227369349517732,-0.6945468122982434,-0.5155039082493073,-0.7672886119192357,0.17575276423632766,7
1.6151139736175537,0.2827908887392765,0.08804211616516114,0.012532229235740804,19,sqrt,1,11,775,"{'max_depth': 19, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 775}",-1.1594201033577085,-0.8744027904732041,-0.9017438270194166,-0.7366743866133032,-0.5697354082108179,-0.84839530313489,0.19513676279956726,40
2.94269437789917,1.0087573537801542,0.09155483245849609,0.012199450409859992,23,0.6,3,5,804,"{'max_depth': 23, 'max_features': 0.6, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 804}",-1.041355781172588,-0.7650650177824558,-0.8413424480641726,-0.702101370409114,-0.529737440041162,-0.7759204114938985,0.1678744317506816,16
1.258387041091919,0.5286692795855653,0.04095182418823242,0.004285718103937217,10,1.0,3,8,320,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 320}",-1.0250099498477043,-0.7252759833052005,-0.8206392409891892,-0.705396076401716,-0.5176364384396863,-0.7587915377966993,0.1654252283912533,3
1.325669288635254,0.2537146960797523,0.07305560111999512,0.0067885155783401424,16,log2,1,3,645,"{'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 645}",-1.1237734391244336,-0.8524169716684081,-0.8664600050854627,-0.7211430945648885,-0.5412859136141255,-0.8210158848114638,0.19127820787248404,28
2.2428861618041993,0.6451743415330704,0.07534427642822265,0.009562838503320749,9,0.8,3,8,727,"{'max_depth': 9, 'max_features': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 727}",-1.0358293434269845,-0.7418589191049653,-0.8254136671543308,-0.6996696020953438,-0.5177261008056256,-0.7640995265174501,0.16908118873240913,6
3.242212152481079,1.0400084320393594,0.0861208438873291,0.006528148594169467,15,0.6,2,2,861,"{'max_depth': 15, 'max_features': 0.6, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 861}",-1.046713742918483,-0.7579643626659313,-0.8415446375125052,-0.6986943970960614,-0.5214751393630526,-0.7732784559112067,0.17241191445900075,13
3.9492270946502686,1.2533012334564075,0.08959932327270508,0.009704862539837423,15,0.8,2,7,865,"{'max_depth': 15, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 865}",-1.0519180515374047,-0.7670121640980896,-0.8392071285993818,-0.6975646378675143,-0.5231121662443949,-0.7757628296693571,0.17338441378036518,15
4.157351732254028,1.40181653600161,0.10470399856567383,0.01771381198205034,17,0.8,2,3,855,"{'max_depth': 17, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 855}",-1.0329317200234915,-0.7544125250628247,-0.8377006062426208,-0.6970473279444541,-0.517314921210001,-0.7678814200966785,0.16917968575107675,8
1.2033785343170167,0.1665400076648197,0.05766768455505371,0.005526464014505808,9,log2,2,5,569,"{'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 569}",-1.1231166492547864,-0.8418336285437122,-0.8738305105646812,-0.7516311872592703,-0.5519625647787598,-0.828474908080242,0.1851558128491801,30
3.1780385971069336,1.215878183021492,0.06866564750671386,0.0037739872471351664,23,0.8,1,9,637,"{'max_depth': 23, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 637}",-1.0957997969311692,-0.8130508467712688,-0.847231308100974,-0.7047455984774343,-0.5347753452191599,-0.7991205791000013,0.18401754945566384,23
