mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1327828884124755,0.4636022023284581,0.040067100524902345,0.0012405714788117086,14,0.8,1,9,320,"{'max_depth': 14, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 320}",-1.2806393069793538,-0.915131831384992,-0.9494939606216186,-0.7307456259322208,-0.5670204371779914,-0.8886062324192354,0.23934838590497748,38
1.1891600131988525,0.19831219516710089,0.0631523609161377,0.0017686821567719207,14,log2,3,8,630,"{'max_depth': 14, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 630}",-1.2115872269133285,-0.885931457920468,-0.8925084116078993,-0.7415637357403027,-0.5582463848022654,-0.8579674433968527,0.21466464637136892,22
3.0951467990875243,1.3085796535486087,0.06595983505249023,0.005997416684698497,18,1.0,3,7,608,"{'max_depth': 18, 'max_features': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 608}",-1.188040496466937,-0.8643715383213338,-0.9239286018390146,-0.7113511575708554,-0.5562129407858297,-0.8487809469967942,0.21235360310234222,17
2.387707567214966,0.514104446606783,0.07464122772216797,0.010050962101631106,9,0.8,2,7,685,"{'max_depth': 9, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 685}",-1.2183028252693573,-0.84881893723243,-0.894192621011481,-0.7021576942782571,-0.5517532519208861,-0.8430450659424823,0.2227859817514027,11
1.699504280090332,0.3971346783845183,0.06341085433959961,0.00727446817745543,8,0.8,2,7,552,"{'max_depth': 8, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 552}",-1.2131314118503713,-0.837469266582764,-0.8817748403859837,-0.6985564735435192,-0.5517419009684377,-0.8365347786662151,0.220915167632116,4
1.6426788330078126,0.26749147209238233,0.0991783618927002,0.023094001502006183,19,sqrt,1,11,775,"{'max_depth': 19, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 775}",-1.2437941171844518,-0.9102453236697141,-0.926242762820574,-0.753070931311521,-0.5756513542580269,-0.8818008978488574,0.22096253206956504,36
3.1055437564849853,1.1963094624376895,0.09059491157531738,0.00994836853832971,23,0.6,3,5,804,"{'max_depth': 23, 'max_features': 0.6, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 804}",-1.1701321552947417,-0.8580668251371323,-0.9111177875934057,-0.7149927828544714,-0.5581159876957874,-0.8424851077151077,0.20465869723599842,10
1.2153264045715333,0.3444772477971334,0.05024714469909668,0.018521214098049618,10,1.0,3,8,320,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 320}",-1.2008630832189078,-0.852339894844229,-0.9133338008215177,-0.7009213793041554,-0.553423491605069,-0.8441763299587757,0.21777696545632128,12
1.4003541469573975,0.11023139254566174,0.07700438499450683,0.01947277285381541,16,log2,1,3,645,"{'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 645}",-1.163732338718565,-0.8756639929144893,-0.8994672476583606,-0.7271777818859989,-0.5591155426051835,-0.8450313807565195,0.20055386229709743,14
2.2702455043792726,0.7598678027717846,0.07863793373107911,0.0035144353193356554,9,0.8,3,8,727,"{'max_depth': 9, 'max_features': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 727}",-1.1977130291673348,-0.8369350203709306,-0.8971652235644032,-0.699259038738833,-0.551771322301318,-0.8365687268285639,0.21636117432114677,5
3.325338077545166,1.0555999107573588,0.10226397514343262,0.010809424336299394,15,0.6,2,2,861,"{'max_depth': 15, 'max_features': 0.6, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 861}",-1.1717755693642113,-0.8464922596522217,-0.9107527378545589,-0.713046449303338,-0.5551521912289324,-0.8394438414806524,0.20609563770780293,7
4.195990562438965,1.3641633675530023,0.09346089363098145,0.017806140995238057,15,0.8,2,7,865,"{'max_depth': 15, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 865}",-1.2151871409906865,-0.8761644432637633,-0.9248570497897171,-0.7166085763490726,-0.5593935005089795,-0.8584421421804438,0.2197902930370429,23
4.3238073825836185,1.4829586418151695,0.08636355400085449,0.006931388056166874,17,0.8,2,3,855,"{'max_depth': 17, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 855}",-1.1733938251108618,-0.8545563822755727,-0.9177494861765244,-0.7137686262658526,-0.5509120345487232,-0.8420760708755068,0.20827528639753976,9
1.2811222076416016,0.1971024512273083,0.05603423118591309,0.0029773738336887614,9,log2,2,5,569,"{'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 569}",-1.2006746829145645,-0.8647803428651667,-0.8866224557913358,-0.7462960939349139,-0.5527414904811319,-0.8502230131974227,0.21149433513961297,18
3.602987194061279,1.3705128279118952,0.07228059768676758,0.005224254209156953,23,0.8,1,9,637,"{'max_depth': 23, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 637}",-1.2897968281409797,-0.9361209757994687,-0.956454867427996,-0.7377499721933438,-0.5752428122232867,-0.8990730911570151,0.24009225348339375,39
2.9982563495635985,1.2944564854882128,0.05423116683959961,0.00283541531069835,22,1.0,2,10,487,"{'max_depth': 22, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 487}",-1.2663185570388693,-0.8997896995994886,-0.9394480970087125,-0.7274185861475582,-0.5686445291770137,-0.8803238937943284,0.23383349994791294,35
2.0506754398345945,0.35699424414022074,0.08444323539733886,0.007441397063303789,20,sqrt,1,2,820,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 820}",-1.1662825469021276,-0.867938468826198,-0.9009935848835344,-0.7247322903906137,-0.5626142943567627,-0.8445122370718472,0.20054363565422073,13
2.9633656978607177,0.6682016546264147,0.1020991325378418,0.016566500003171378,8,0.8,3,4,892,"{'max_depth': 8, 'max_features': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 892}",-1.170385233016041,-0.8243765502444201,-0.8754170448381107,-0.6877909099910434,-0.5485639182863575,-0.8213067312751946,0.2083306346989132,1
2.5219390869140623,0.6556042475959529,0.07780647277832031,0.003692091787168927,15,0.6,3,2,678,"{'max_depth': 15, 'max_features': 0.6, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 678}",-1.1719950864657946,-0.85635301676049,-0.907830616697421,-0.7154481051093834,-0.5540667848490411,-0.8411387219764259,0.2060842768213342,8
0.7071427822113037,0.1501097439339982,0.04427900314331055,0.007503280736461212,12,log2,3,11,340,"{'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 11, 'n_estimators': 340}",-1.227773180090833,-0.8934994263111491,-0.8980674759525346,-0.7517019944012924,-0.5607820534582365,-0.8663648260428092,0.21857984297699928,27
