mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1829046249389648,0.32710190705886527,0.04606838226318359,0.007046786702177341,14,0.8,1,9,320,"{'max_depth': 14, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 320}",-1.280639306979354,-0.915131831384992,-0.9494939606216186,-0.7307456259322208,-0.5670204371779914,-0.8886062324192354,0.23934838590497756,38
1.099330520629883,0.17432507171624895,0.0793118953704834,0.01104630208278038,14,log2,3,8,630,"{'max_depth': 14, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 630}",-1.2115872269133285,-0.885931457920468,-0.8925084116078993,-0.7415637357403025,-0.5582463848022653,-0.8579674433968527,0.21466464637136895,22
3.028805446624756,1.1922547130118,0.06812901496887207,0.009816393575198189,18,1.0,3,7,608,"{'max_depth': 18, 'max_features': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 608}",-1.188040496466937,-0.8643715383213338,-0.9239286018390147,-0.7113511575708555,-0.5562129407858296,-0.8487809469967942,0.21235360310234225,17
2.366641569137573,0.6654411452524573,0.07241501808166503,0.011444213753884888,9,0.8,2,7,685,"{'max_depth': 9, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 685}",-1.2183028252693573,-0.8488189372324301,-0.8941926210114811,-0.7021576942782572,-0.5517532519208861,-0.8430450659424824,0.22278598175140268,11
1.675637149810791,0.3092003331868606,0.06646561622619629,0.006455525607549284,8,0.8,2,7,552,"{'max_depth': 8, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 552}",-1.2131314118503713,-0.8374692665827639,-0.8817748403859837,-0.6985564735435192,-0.5517419009684376,-0.8365347786662151,0.22091516763211602,4
1.6162580013275147,0.3328000024639665,0.08327317237854004,0.0048936880893517085,19,sqrt,1,11,775,"{'max_depth': 19, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 775}",-1.2437941171844518,-0.9102453236697141,-0.926242762820574,-0.753070931311521,-0.5756513542580269,-0.8818008978488574,0.22096253206956504,36
2.9989256381988527,1.038018453245594,0.08924880027770996,0.011597181115046545,23,0.6,3,5,804,"{'max_depth': 23, 'max_features': 0.6, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 804}",-1.1701321552947417,-0.8580668251371323,-0.9111177875934057,-0.7149927828544714,-0.5581159876957874,-0.8424851077151077,0.20465869723599842,10
1.1404457569122315,0.5103201516461942,0.04010539054870606,0.0011904671588780324,10,1.0,3,8,320,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 320}",-1.2008630832189078,-0.852339894844229,-0.9133338008215176,-0.7009213793041554,-0.553423491605069,-0.8441763299587757,0.21777696545632125,12
1.2910176753997802,0.23521295172947365,0.07665891647338867,0.010863199406389325,16,log2,1,3,645,"{'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 645}",-1.163732338718565,-0.8756639929144893,-0.8994672476583606,-0.7271777818859989,-0.5591155426051835,-0.8450313807565195,0.20055386229709743,14
2.1733625411987303,0.7570515642341673,0.07613205909729004,0.008692595481432648,9,0.8,3,8,727,"{'max_depth': 9, 'max_features': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 727}",-1.1977130291673348,-0.8369350203709306,-0.8971652235644032,-0.6992590387388331,-0.551771322301318,-0.8365687268285639,0.21636117432114674,5
3.2316067218780518,1.06591989556068,0.0919299602508545,0.008530963270965777,15,0.6,2,2,861,"{'max_depth': 15, 'max_features': 0.6, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 861}",-1.1717755693642113,-0.8464922596522217,-0.9107527378545589,-0.7130464493033379,-0.5551521912289326,-0.8394438414806524,0.20609563770780293,7
3.9262795448303223,1.6267711972176724,0.0938568115234375,0.006147211329002166,15,0.8,2,7,865,"{'max_depth': 15, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 865}",-1.2151871409906865,-0.8761644432637631,-0.9248570497897171,-0.7166085763490724,-0.5593935005089796,-0.8584421421804438,0.2197902930370429,23
4.333206653594971,1.4609797025872222,0.08970189094543457,0.007245423991340096,17,0.8,2,3,855,"{'max_depth': 17, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 855}",-1.1733938251108618,-0.8545563822755727,-0.9177494861765244,-0.7137686262658526,-0.5509120345487232,-0.8420760708755068,0.20827528639753976,9
1.1409880638122558,0.11876182362169738,0.0631535530090332,0.006004071664296839,9,log2,2,5,569,"{'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 569}",-1.2006746829145645,-0.8647803428651667,-0.8866224557913359,-0.7462960939349139,-0.5527414904811319,-0.8502230131974227,0.21149433513961297,18
3.682182264328003,1.3384987251890708,0.07546763420104981,0.009441270306749988,23,0.8,1,9,637,"{'max_depth': 23, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 637}",-1.2897968281409797,-0.9361209757994687,-0.956454867427996,-0.7377499721933438,-0.5752428122232867,-0.8990730911570151,0.24009225348339375,39
