mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7484958171844482,0.3121972960671866,0.050132465362548825,0.009396310797538094,10,0.8,1,8,306,"{'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 306}",-2.0884120379533306,-1.510700118970135,-1.4777504480928816,-1.4177025274575135,-1.1734387371860193,-1.5336007739319761,0.30153219855525837,9
1.141803789138794,0.3006403504061449,0.04148907661437988,0.0015534273965318866,11,1.0,1,8,321,"{'max_depth': 11, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 321}",-2.053173691655595,-1.470333011653727,-1.4294795941891827,-1.3497018972283097,-1.0922516524254087,-1.4789879694304449,0.31575151574503624,3
1.335238552093506,0.2829664929000556,0.07092933654785157,0.006373647918595721,6,0.7,3,9,572,"{'max_depth': 6, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 572}",-2.2339562625732015,-1.7257197688387358,-1.7550626180687514,-1.7674492776667408,-1.5273894962476395,-1.8019154846790137,0.23290025750757004,12
1.2428304195404052,0.3196299844505057,0.06949915885925292,0.006233834716446878,7,0.7,2,6,543,"{'max_depth': 7, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 543}",-2.163630622165547,-1.6658819966517964,-1.6571831159967483,-1.653943924267411,-1.4138870311817433,-1.7109053380526489,0.24549453703310717,11
0.7786137104034424,0.12934582575769443,0.060366487503051756,0.0064248138888998605,15,log2,4,5,476,"{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 476}",-2.7596861405097357,-2.2972399436142963,-2.2385264968003917,-2.25912773026512,-2.1205784164656083,-2.3350317455310305,0.22037444878212908,21
0.8299705028533936,0.24505027910374358,0.06152162551879883,0.009243661727341208,4,0.8,2,7,452,"{'max_depth': 4, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 452}",-2.3674976460593227,-1.8924996704245185,-1.9832566100947397,-2.0281090038832312,-1.8328743302429291,-2.020847452140948,0.18624672137286674,13
0.4103068828582764,0.1491145004499193,0.040750551223754886,0.005865989154718346,15,sqrt,1,4,258,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 258}",-2.5574817973472213,-2.077374402486364,-2.0470187903647563,-2.0358171471340216,-1.8703422974172392,-2.1176068869499205,0.23148244329044823,14
1.347097396850586,0.175607342496368,0.12128443717956543,0.03035501236921652,18,log2,4,5,899,"{'max_depth': 18, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 899}",-2.7631337903000137,-2.276132715716379,-2.2280721056447117,-2.223368109004553,-2.0589550820813773,-2.309932360549407,0.23820915901981363,19
1.0714706897735595,0.34867395538617046,0.05604219436645508,0.006074483512844242,19,0.7,4,8,443,"{'max_depth': 19, 'max_features': 0.7, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 443}",-2.06629054476876,-1.5183598042570958,-1.4629584541076326,-1.3876473706008272,-1.1500674024038477,-1.5170647152276326,0.30199803088538557,8
1.5612687587738037,0.1922599786774129,0.09557962417602539,0.008797387866249225,19,sqrt,3,6,846,"{'max_depth': 19, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 846}",-2.6353501008372113,-2.1456963246206318,-2.07140419434375,-2.0424918881999345,-1.8808015652439067,-2.155148814649087,0.2552072814743772,16
0.9782476425170898,0.14631202655128842,0.06716766357421874,0.009545071601853907,8,sqrt,3,3,587,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 587}",-2.744915912660403,-2.3057335172744153,-2.348599313473252,-2.39517566839413,-2.304600000922541,-2.4198048825449483,0.16592676353352967,23
1.7544915676116943,0.6082874749499249,0.0675140380859375,0.011753204093420658,12,0.8,2,3,545,"{'max_depth': 12, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 545}",-2.020668099409601,-1.448639971826632,-1.4222237570348988,-1.3408400673350274,-1.0974783493268776,-1.4659700489866074,0.30375899716821764,2
0.9950271129608155,0.103618660676311,0.072849702835083,0.006028817964377821,8,log2,4,5,566,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 566}",-2.8230396012471073,-2.402607780689706,-2.4507083520500443,-2.5127981572462206,-2.440926002745996,-2.526015978795815,0.15266883711526757,24
0.7145564079284668,0.34942091565614136,0.03279037475585937,0.004671232754834428,15,0.8,1,9,234,"{'max_depth': 15, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 234}",-2.089630408989399,-1.4791605631085851,-1.4608191119971041,-1.3752437656462202,-1.1028538990868617,-1.501541549765634,0.3233916216978717,6
0.9830123901367187,0.16371169401193056,0.05789303779602051,0.010386072875852307,17,sqrt,4,3,587,"{'max_depth': 17, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 587}",-2.6842811839871197,-2.180241069816557,-2.1192634623953563,-2.093809761353779,-1.937559236990671,-2.2030309429086965,0.253591268299375,17
